,Query Path,SAT/UNSAT,Depths,algaroba with pause based on depth
50,../blocksworld/blocksworld_from_18_1_7_to_7_17_2_negated_goal_bmc_31.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 437, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S_T_U_V_W_X_Y_Z: 93, Record_left_center_right: 36, }",0.09887576103210449
51,../blocksworld/blocksworld_from_4_1_2_to_4_2_1_negated_goal_bmc_0.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 26, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Enum_A_B_C_D_E_F_G: 0, Record_left_center_right: 5, }",0.035408973693847656
52,../blocksworld/blocksworld_from_4_16_3_to_5_0_18_negated_goal_bmc_18.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 274, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S_T_U_V_W: 54, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 23, }",0.06753063201904297
53,../blocksworld/blocksworld_from_7_0_15_to_7_2_13_negated_goal_bmc_29.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 406, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 34, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S_T_U_V: 87, }",0.11844611167907715
54,../blocksworld/blocksworld_from_17_0_1_to_1_10_7_negated_goal_bmc_3.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 85, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R: 9, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 8, }",0.04140305519104004
55,../blocksworld/blocksworld_from_13_1_5_to_8_4_7_negated_goal_bmc_2.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 75, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S: 6, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 7, }",0.06502366065979004
56,../blocksworld/blocksworld_from_4_2_8_to_7_1_6_negated_goal_bmc_19.smt2,{'algaroba with pause based on depth': 'sat'},"{Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N: 57, Tower: 266, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 24, }",0.07276225090026855
57,../blocksworld/blocksworld_from_8_10_1_to_5_9_5_negated_goal_bmc_16.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 244, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S: 48, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 21, }",0.06846880912780762
58,../blocksworld/blocksworld_from_5_4_17_to_12_6_8_negated_goal_bmc_16.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 258, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S_T_U_V_W_X_Y_Z: 48, Record_left_center_right: 21, }",0.08342766761779785
59,../blocksworld/blocksworld_from_1_24_0_to_9_16_0_negated_goal_bmc_18.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 279, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S_T_U_V_W_X_Y: 54, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 23, }",0.07171034812927246
